"sid","id","position","created_at","created_meta","updated_at","updated_meta","meta","business_id","name","date","score","human_address","latitude","longitude","machine_address","needs_recoding"
"4935","EBD9E51B-C9CD-42B1-AC8D-D3E563165743","4935","1434023282","897482","1434023282","897482",NA,"1-733","ChickFilA 931","2015-03-24T00:00:00","97","{""address"":""3419 NORTHSIDE PKWY"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30327""}",33.8483977720001,-84.429831301,NA,"FALSE"
"4936","FA77B9EE-F149-4115-82E2-3D0AB89EE355","4936","1434023282","897482","1434023282","897482",NA,"FSP-060-000883","ChickFilA  Greenbriar Mall","2015-01-23T00:00:00","96","{""address"":""2841 GREENBRIAR PKWY"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30331""}",33.690369096,-84.489093882,NA,"FALSE"
"4937","F9F8A70B-B180-42FF-A0CE-44C4FAA85091","4937","1434023282","897482","1434023282","897482",NA,"FSP-060-000883","ChickFilA  Greenbriar Mall","2015-01-05T00:00:00","79","{""address"":""2841 GREENBRIAR PKWY"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30331""}",33.690369096,-84.489093882,NA,"FALSE"
"4938","7EC33A78-AE58-4DD7-BD56-DD93FAD0576A","4938","1434023282","897482","1434023282","897482",NA,"1-24819","ChickFilA  Midtown II","2015-04-24T00:00:00","100","{""address"":""725 WEST PEACHTREE ST"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30308""}",33.773990188,-84.387287479,NA,"FALSE"
"4939","80239B56-6744-4C64-B188-16FAD4D134BB","4939","1434023282","897482","1434023282","897482",NA,"FSP-060-000264","ChickFilA at GWCC Movable 2","2015-03-26T00:00:00","99","{""address"":""285 ANDREW YOUNG INTERNATIONAL BLVD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30313""}",33.7584098940001,-84.395366178,NA,"FALSE"
"4940","E55CE621-A4D2-4E47-A8E1-9101B2446880","4940","1434023282","897482","1434023282","897482",NA,"FSP-060-002239","ChickfilA Cart 1","2015-03-26T00:00:00","99","{""address"":""285 ANDREW YOUNG INTERNATIONAL BLVD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30314""}",33.757961644,-84.42540898,NA,"FALSE"
"4941","DE2C2690-4C6F-4A52-915E-3B8C3E3C7B13","4941","1434023282","897482","1434023282","897482",NA,"FSP-060-002240","ChickfilA Cart 2","2015-02-13T00:00:00","99","{""address"":""285 ANDREW YOUNG INTERNATIONAL BLVD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30314""}",33.757961644,-84.42540898,NA,"FALSE"
"4942","AA8BB5E3-EE27-4BE4-A249-06C0FB032ABB","4942","1434023282","897482","1434023282","897482",NA,"FSP-060-002240","ChickfilA Cart 2","2015-02-13T00:00:00","100","{""address"":""285 ANDREW YOUNG INTERNATIONAL BLVD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30314""}",33.757961644,-84.42540898,NA,"FALSE"
"4943","7D2CB849-5655-4E16-BE45-247D44E789B8","4943","1434023282","897482","1434023282","897482",NA,"FSP-060-002242","ChickfilA Cart 3","2015-03-31T00:00:00","99","{""address"":""285 ANDREW YOUNG INTERNATIONAL BLVD"",""city"":""ATLANTA"",""state"":""GA"",""zip"":""30314""}",33.757961644,-84.42540898,NA,"FALSE"
"4944","EBE19556-CE33-42E0-9831-F0E038319153","4944","1434023282","897482","1434023282","897482",NA,"1-30426","Chin Chin Silos","2015-02-24T00:00:00","97","{""address"":""270 RUCKER RD STE 115"",""city"":""ALPHARETTA"",""state"":""GA"",""zip"":""30004""}",34.077747806,-84.3569098739999,NA,"FALSE"
