establishment.name,address,city,time.in.h,time.in.m,time.in.ampm,time.out.h,time.out.m,time.out.ampm,inspection.date,cfsm,purpose.of.inspection,risk.type,permit.number,current.score,current.grade,template_type,date_time_in,date_time_out,inspection_duration
 CHARLIE'S WINGS & FINS, 4779 ROCKBRIDGE ROAD, STONE MOUNTAIN,11.0,0.0,AM,12.0,55.0,PM,2016-08-15,Taejun Ahn,Routine,2,886374,72.0,C,Food_2015,2016-08-15T11:00:00Z,2016-08-15T12:55:00Z,1.9166666666666667
 CHARLIE'S WINGS & FINS, 4779 ROCKBRIDGE ROAD, STONE MOUNTAIN,12.0,0.0,PM,1.0,40.0,PM,2016-02-10,Taejun Ahn,Routine,2,886374,86.0,B,Food_2015,2016-02-10T12:00:00Z,2016-02-10T13:40:00Z,1.6666666666666667
 CHAT PATTI INDIAN VEGETARIAN RESTAURANT," 1707 CHURCH STREET, SUITE C-7", DECATUR,11.0,20.0,AM,12.0,30.0,PM,2016-10-06,Rajinikant P. Gangual,Followup,2,887260,99.0,A,Food_2015,2016-10-06T11:20:00Z,2016-10-06T12:30:00Z,1.1666666666666667
 CHAT PATTI INDIAN VEGETARIAN RESTAURANT," 1707 CHURCH STREET, SUITE C-7", DECATUR,11.0,50.0,AM,2.0,10.0,PM,2016-09-19,Rajinikant P. Gangual,Routine,2,887260,78.0,C,Food_2015,2016-09-19T11:50:00Z,2016-09-19T14:10:00Z,2.3333333333333335
 CHATEAU SAIGON," 4300 BUFORD HIGHWAY STE 217,218", CHAMBLEE,2.0,0.0,PM,3.0,30.0,PM,2016-10-04,Jose Salvador Barajas,Followup,2,887236,99.0,A,Food_2015,2016-10-04T14:00:00Z,2016-10-04T15:30:00Z,1.5
 CHATEAU SAIGON," 4300 BUFORD HIGHWAY STE 217,218", CHAMBLEE,12.0,45.0,PM,2.0,45.0,PM,2016-09-23,Not Posted,Routine,2,887236,83.0,B,Food_2015,2016-09-23T12:45:00Z,2016-09-23T14:45:00Z,2.0
 CHECKERS, 5801 BUFORD HIGHWAY, DORAVILLE,12.0,40.0,PM,2.0,10.0,PM,2016-08-30,Beatriz Menoscal 5/2018,Routine,2,884090,85.0,B,Food_2015,2016-08-30T12:40:00Z,2016-08-30T14:10:00Z,1.5
 CHECKERS, 6000 MEMORIAL DRIVE, STONE MOUNTAIN,10.0,30.0,AM,11.0,45.0,AM,2016-09-15,Valaria Cromer,Routine,2,884670,81.0,B,Food_2015,2016-09-15T10:30:00Z,2016-09-15T11:45:00Z,1.25
 CHECKERS, 6000 MEMORIAL DRIVE, STONE MOUNTAIN,11.0,20.0,AM,12.0,45.0,PM,2016-04-15,Valaria Cromer,Followup,2,884670,88.0,B,Food_2015,2016-04-15T11:20:00Z,2016-04-15T12:45:00Z,1.4166666666666667
 CHECKERS, 6000 MEMORIAL DRIVE, STONE MOUNTAIN,2.0,0.0,PM,4.0,10.0,PM,2016-02-29,Valaria Cromer,Routine,2,884670,74.0,C,Food_2015,2016-02-29T14:00:00Z,2016-02-29T16:10:00Z,2.1666666666666665
 CHECKERS, 2388 WESLEY CHAPEL ROAD, DECATUR,3.0,25.0,PM,5.0,0.0,PM,2016-10-13,Erica Lee,Routine,2,886351,92.0,A,Food_2015,2016-10-13T15:25:00Z,2016-10-13T17:00:00Z,1.5833333333333333
 CHECKERS, 2388 WESLEY CHAPEL ROAD, DECATUR,2.0,10.0,PM,3.0,45.0,PM,2015-11-20,Sheila Battle,Routine,2,886351,92.0,A,Food_2015,2015-11-20T14:10:00Z,2015-11-20T15:45:00Z,1.5833333333333333
 CHECKERS, 2148 LAWRENCEVILLE HIGHWAY, DECATUR,3.0,45.0,PM,5.0,0.0,PM,2016-05-18,Reginald Hendrix,Routine,2,887345,95.0,A,Food_2015,2016-05-18T15:45:00Z,2016-05-18T17:00:00Z,1.25
 CHECKERS, 2929 TURNER HILL ROAD, LITHONIA,2.0,5.0,PM,3.0,35.0,PM,2017-01-03,Natasha Hudda 2/21,Routine,2,887559,87.0,B,Food_2015,2017-01-03T14:05:00Z,2017-01-03T15:35:00Z,1.5
 CHECKERS, 2929 TURNER HILL ROAD, LITHONIA,3.0,30.0,PM,4.0,35.0,PM,2016-09-06,Natasha Hudda,Followup,2,887559,75.0,C,Food_2015,2016-09-06T15:30:00Z,2016-09-06T16:35:00Z,1.0833333333333333
 CHECKERS, 2929 TURNER HILL ROAD, LITHONIA,1.0,50.0,PM,3.0,10.0,PM,2016-07-25,Tony Trevino,Routine,2,887559,76.0,C,Food_2015,2016-07-25T13:50:00Z,2016-07-25T15:10:00Z,1.3333333333333333
 CHECKERS, 2929 TURNER HILL ROAD, LITHONIA,1.0,50.0,PM,2.0,35.0,PM,2016-03-28,Natasha Hudda,Followup,2,887559,96.0,A,Food_2015,2016-03-28T13:50:00Z,2016-03-28T14:35:00Z,0.75
 CHECKERS, 2929 TURNER HILL ROAD, LITHONIA,1.0,45.0,PM,3.0,10.0,PM,2016-02-16,Tony Trevino 6/17,Routine,2,887559,75.0,C,Food_2015,2016-02-16T13:45:00Z,2016-02-16T15:10:00Z,1.4166666666666667
 CHECKERS, 2854 CANDLER ROAD, DECATUR,3.0,50.0,PM,5.0,30.0,PM,2016-03-15,John Dallis exp 1/14/2021,Routine,2,887994,84.0,B,Food_2015,2016-03-15T15:50:00Z,2016-03-15T17:30:00Z,1.6666666666666667
 CHECKERS, 2854 CANDLER ROAD, DECATUR,2.0,20.0,PM,3.0,55.0,PM,2016-02-04,John Dallis 1/14/2021,Initial,2,887994,96.0,A,Food_2015,2016-02-04T14:20:00Z,2016-02-04T15:55:00Z,1.5833333333333333
