establishment.name,address,city,time.in.h,time.in.m,time.in.ampm,time.out.h,time.out.m,time.out.ampm,inspection.date,cfsm,purpose.of.inspection,risk.type,permit.number,current.score,current.grade,template_type,date_time_in,date_time_out,inspection_duration
VIBES,"4469 GLENWOOD ROAD, SUITE 3",DECATUR,12,0,AM,12,40,AM,2015-05-30,Howard Shirley,Routine,2,444814,95,A,Food,2015-05-30T00:00:00Z,2015-05-30T00:40:00Z,0.6666666666666666
VICTORY SANDWICH BAR,344 CHURCH STREET,DECATUR,4,50,PM,6,20,PM,2015-09-17,Melissa Allen,Routine,2,886112,93,A,Food,2015-09-17T16:50:00Z,2015-09-17T18:20:00Z,1.5
VILLA CHRISTINA,4000 SUMMIT BOULEVARD,ATLANTA,9,30,AM,12,15,PM,2015-03-12,Roger Benson (5/8/17),Routine,2,446986,90,A,Food,2015-03-12T09:30:00Z,2015-03-12T12:15:00Z,2.75
VILLAGE BURGER,1426 DUNWOODY VILLAGE PARKWAY,DUNWOODY,1,30,PM,3,40,PM,2015-09-11,Paul Newell 04/14/19,Routine,2,885267,80,B,Food,2015-09-11T13:30:00Z,2015-09-11T15:40:00Z,2.1666666666666665
VILLAGE BURGER,1426 DUNWOODY VILLAGE PARKWAY,DUNWOODY,2,50,PM,3,55,PM,2015-03-19,Adrian Munoz,Routine,2,885267,99,A,Food,2015-03-19T14:50:00Z,2015-03-19T15:55:00Z,1.0833333333333333
VILLAGGIO GASTRO ITALIAN,1355 CLAIRMONT ROAD,DECATUR,1,0,PM,2,45,PM,2015-10-06,Mike Prentiss 06/23/20,Initial,2,887838,96,A,Food,2015-10-06T13:00:00Z,2015-10-06T14:45:00Z,1.75
VINO VENUE,4478 CHAMBLEE DUNWOODY ROAD,DUNWOODY,4,5,PM,6,15,PM,2015-06-03,Cindy Wilcox,Follow-Up,2,886167,81,B,Food,2015-06-03T16:05:00Z,2015-06-03T18:15:00Z,2.1666666666666665
VINO VENUE,4478 CHAMBLEE DUNWOODY ROAD,DUNWOODY,4,55,PM,6,25,PM,2015-04-20,Cidney Wilcox,Routine,2,886167,79,C,Food,2015-04-20T16:55:00Z,2015-04-20T18:25:00Z,1.5
VINTAGE PIZZA,"5434 PEACHTREE ROAD, SUITE 101",CHAMBLEE,2,0,PM,3,15,PM,2015-06-01,Fransisco Toledeo,Routine,2,880920,95,A,Food,2015-06-01T14:00:00Z,2015-06-01T15:15:00Z,1.25
VINTAGE PIZZA,"5434 PEACHTREE ROAD, SUITE 101",CHAMBLEE,2,15,PM,3,25,PM,2015-01-22,Fransisco Toledeo,Routine,2,880920,96,A,Food,2015-01-22T14:15:00Z,2015-01-22T15:25:00Z,1.1666666666666667
W.K. WINGS - BOULDERCREST,2542 BOULDERCREST ROAD,ATLANTA,12,25,PM,2,40,PM,2015-03-05,Susan Olvey,Routine,2,446655,80,B,Food,2015-03-05T12:25:00Z,2015-03-05T14:40:00Z,2.25
WADSWORTH MAGNET SCHOOL,3039 SANTA MONICA DRIVE,DECATUR,9,5,AM,10,30,AM,2015-10-23,Lauranada Hyman exp 3/16/17,Routine,2,887831,97,A,Food,2015-10-23T09:05:00Z,2015-10-23T10:30:00Z,1.4166666666666667
