establishment.name,address,city,time.in.h,time.in.m,time.in.ampm,time.out.h,time.out.m,time.out.ampm,inspection.date,cfsm,purpose.of.inspection,risk.type,permit.number,current.score,current.grade,template_type,date_time_in,date_time_out,inspection_duration
WOODWARD ELEMENTARY SCHOOL,"3034 CURTIS DRIVE, NE",ATLANTA,7,35,AM,9,40,AM,2015-10-13,Posted at Montclair School,Routine,2,660097,85,B,Food,2015-10-13T07:35:00Z,2015-10-13T09:40:00Z,2.0833333333333335
WOODWARD ELEMENTARY SCHOOL,"3034 CURTIS DRIVE, NE",ATLANTA,7,55,AM,9,30,AM,2015-05-19,None Posted,Follow-Up,2,660097,86,B,Food,2015-05-19T07:55:00Z,2015-05-19T09:30:00Z,1.5833333333333333
WOODWARD ELEMENTARY SCHOOL,"3034 CURTIS DRIVE, NE",ATLANTA,11,30,AM,1,30,PM,2015-03-26,None,Routine,2,660097,76,C,Food,2015-03-26T11:30:00Z,2015-03-26T13:30:00Z,2
WORTHY FOODSERVICE MANAGEMENT,4401 SARR PARKWAY,STONE MOUNTAIN,10,25,AM,12,10,PM,2015-10-13,Zachery Worthy,Routine,2,883726,81,B,Food,2015-10-13T10:25:00Z,2015-10-13T12:10:00Z,1.75
WORTHY FOODSERVICE MANAGEMENT,4401 SARR PARKWAY,STONE MOUNTAIN,9,40,AM,11,45,PM,2015-06-10,Zachery Worthy,Routine,2,883726,81,B,Food,2015-06-10T09:40:00Z,2015-06-10T23:45:00Z,14.083333333333334
WORTHY FOODSERVICE MANAGEMENT,4401 SARR PARKWAY,STONE MOUNTAIN,9,40,AM,11,35,AM,2015-02-06,Zachery Worthy,Follow-Up,2,883726,88,B,Food,2015-02-06T09:40:00Z,2015-02-06T11:35:00Z,1.9166666666666667
WORTHY FOODSERVICE MANAGEMENT,4401 SARR PARKWAY,STONE MOUNTAIN,10,55,AM,1,20,PM,2014-12-08,Zachery Worthy,Routine,2,883726,72,C,Food,2014-12-08T10:55:00Z,2014-12-08T13:20:00Z,2.4166666666666665
WYATT'S DINER,1674 MEMORIAL DRIVE,ATLANTA,2,0,PM,4,10,PM,2015-06-08,Oscar DeCarlo,Routine,2,441759,82,B,Food,2015-06-08T14:00:00Z,2015-06-08T16:10:00Z,2.1666666666666665
WYNBROOKE ELEMENTARY,440 WICKSBURY WAY,STONE MOUNTAIN,11,10,AM,12,50,PM,2015-10-07,Krystal Rice,Routine,1,668376,92,A,Food,2015-10-07T11:10:00Z,2015-10-07T12:50:00Z,1.6666666666666667
WYNBROOKE ELEMENTARY,440 WICKSBURY WAY,STONE MOUNTAIN,11,15,AM,12,50,PM,2015-04-03,Krystal Rice,Routine,2,668376,94,A,Food,2015-04-03T11:15:00Z,2015-04-03T12:50:00Z,1.5833333333333333
XELA PAN CAFETERIA,5268 BUFORD HIGHWAY NE SUITE C,DORAVILLE,1,35,PM,5,15,PM,2015-05-11,Within 90 days,Routine,2,887549,87,B,Food,2015-05-11T13:35:00Z,2015-05-11T17:15:00Z,3.6666666666666665
XELA PAN CAFETERIA,5268 BUFORD HIGHWAY NE SUITE C,DORAVILLE,10,30,AM,11,50,AM,2015-03-18,None Available,Initial,2,887549,100,A,Food,2015-03-18T10:30:00Z,2015-03-18T11:50:00Z,1.3333333333333333
XS RESTAURANT AND LOUNGE,3337 BUFORD HIGHWAY STE 340C/D,ATLANTA,1,20,PM,2,35,PM,2015-04-29,90 days from permitting,Initial,2,887193,90,A,Food,2015-04-29T13:20:00Z,2015-04-29T14:35:00Z,1.25
YAMI SUSHI AND HIBACHI,"1248 CLAIRMONT ROAD, SUITE 4G",DECATUR,12,0,PM,2,15,PM,2015-10-21,Ylin Cheng 05/05/15,Routine,2,885575,63,U,Food,2015-10-21T12:00:00Z,2015-10-21T14:15:00Z,2.25
YAMI SUSHI AND HIBACHI,"1248 CLAIRMONT ROAD, SUITE 4G",DECATUR,2,55,PM,5,0,PM,2015-01-28,Yilin Chang,Routine,2,885575,80,B,Food,2015-01-28T14:55:00Z,2015-01-28T17:00:00Z,2.0833333333333335
YANMI YANMI,5385 NEW PEACHTREE ROAD,CHAMBLEE,1,35,PM,2,45,PM,2015-04-30,Seunga Seo,Routine,2,887235,76,C,Food,2015-04-30T13:35:00Z,2015-04-30T14:45:00Z,1.1666666666666667
YELLOW BRICK HOUSE,6903 MAIN STREET,LITHONIA,12,55,PM,2,10,PM,2015-08-11,Velica Sloan,Routine,2,442440,88,B,Food,2015-08-11T12:55:00Z,2015-08-11T14:10:00Z,1.25
YELLOW BRICK HOUSE,6903 MAIN STREET,LITHONIA,12,0,PM,1,20,PM,2015-02-04,Velica Sloan 1/2017,Routine,2,442440,87,B,Food,2015-02-04T12:00:00Z,2015-02-04T13:20:00Z,1.3333333333333333
YELLOW HAT CAFE,954 GATEWOOD ROAD N.E.,ATLANTA,10,45,AM,12,55,PM,2015-03-25,Not Posted,Follow-Up,2,887211,92,A,Food,2015-03-25T10:45:00Z,2015-03-25T12:55:00Z,2.1666666666666665
YELLOW HAT CAFE,954 GATEWOOD ROAD N.E.,ATLANTA,11,5,AM,1,15,PM,2015-01-26,Emmanuel Klein,Routine,2,887211,78,C,Food,2015-01-26T11:05:00Z,2015-01-26T13:15:00Z,2.1666666666666665
YELLOW HAT CAFE,954 GATEWOOD ROAD N.E.,ATLANTA,2,40,PM,4,30,PM,2014-12-04,Emanuel Klein,Initial,2,887211,100,A,Food,2014-12-04T14:40:00Z,2014-12-04T16:30:00Z,1.8333333333333333
YELLOW PAGES,2247 NORTHLAKE PARKWAY,TUCKER,7,40,AM,9,45,AM,2015-06-03,Jason Travis,Routine,2,887003,86,B,Food,2015-06-03T07:40:00Z,2015-06-03T09:45:00Z,2.0833333333333335
YEN JING CHINESE RESTAURANT,"5302 BUFORD HIGHWAY, SUITE A-6",DORAVILLE,1,30,PM,4,0,PM,2015-04-28,Chung Jen Hsia (8/19/17),Routine,2,443671,81,B,Food,2015-04-28T13:30:00Z,2015-04-28T16:00:00Z,2.5
YOGURTLAND,"804 TOWN BOULEVARD, SUITE A-1050",BROOKHAVEN,2,50,PM,3,50,PM,2015-02-05,John Herman,Routine,1,887465,100,A,Food,2015-02-05T14:50:00Z,2015-02-05T15:50:00Z,1
YOGURTLAND,"804 TOWN BOULEVARD, SUITE A-1050",BROOKHAVEN,10,15,AM,11,0,AM,2014-12-24,John Herman,Initial,1,887465,99,A,Food,2014-12-24T10:15:00Z,2014-12-24T11:00:00Z,0.75
YOUR PIE,123 PERIMETER CENTER WEST,ATLANTA,12,45,PM,2,45,PM,2015-03-19,Lisa E Maclellan (11/3/19),Routine,1,887382,92,A,Food,2015-03-19T12:45:00Z,2015-03-19T14:45:00Z,2
YOUR PIE,123 PERIMETER CENTER WEST,ATLANTA,7,30,AM,8,45,AM,2015-01-20,Morgan C. Maclellan (8/19/19),Initial,1,887382,100,A,Food,2015-01-20T07:30:00Z,2015-01-20T08:45:00Z,1.25
YUM YUM THAI RESTAURANT,3977 LAWRENCEVILLE HIGHWAY,TUCKER,12,30,PM,2,0,PM,2015-08-03,William Goonsantiviboon,Routine,3,886072,81,B,Food,2015-08-03T12:30:00Z,2015-08-03T14:00:00Z,1.5
YUM YUM THAI RESTAURANT,3977 LAWRENCEVILLE HIGHWAY,TUCKER,11,30,AM,1,10,PM,2015-01-07,William Goonsantiviboon,Routine,3,886072,81,B,Food,2015-01-07T11:30:00Z,2015-01-07T13:10:00Z,1.6666666666666667
Z-CAFE,"1123 ZONOLITE ROAD, SUITE B",ATLANTA,11,35,AM,1,0,PM,2015-08-04,Machell Eggleton,Routine,2,885761,98,A,Food,2015-08-04T11:35:00Z,2015-08-04T13:00:00Z,1.4166666666666667
ZANZA BAR,4203 SNAPFINGER WOODS DRIVE,DECATUR,4,50,PM,6,0,PM,2015-04-08,Farol Taylor,Routine,2,882091,86,B,Food,2015-04-08T16:50:00Z,2015-04-08T18:00:00Z,1.1666666666666667
ZAXBY'S,8065 MALL PARKWAY,LITHONIA,11,50,AM,12,45,PM,2015-07-14,Shermekia Usher 7/2019,Routine,2,881022,97,A,Food,2015-07-14T11:50:00Z,2015-07-14T12:45:00Z,0.9166666666666666
ZAXBY'S,8065 MALL PARKWAY,LITHONIA,2,55,PM,4,5,PM,2015-01-14,Anthony Usher 8/2019,Routine,2,881022,91,A,Food,2015-01-14T14:55:00Z,2015-01-14T16:05:00Z,1.1666666666666667
ZAXBY'S,451 SOUTH DESHON ROAD,LITHONIA,11,30,AM,1,0,PM,2015-05-15,Greg McLeroy,Routine,2,882197,89,B,Food,2015-05-15T11:30:00Z,2015-05-15T13:00:00Z,1.5
ZAXBY'S,4805 FLAT SHOALS PARKWAY,DECATUR,1,15,PM,2,35,PM,2015-06-09,Aunton Addison 6/2015,Routine,2,882903,81,B,Food,2015-06-09T13:15:00Z,2015-06-09T14:35:00Z,1.3333333333333333
ZAXBY'S,4805 FLAT SHOALS PARKWAY,DECATUR,12,0,PM,1,30,PM,2015-03-02,Aunton Addison 6/2015,Routine,2,882903,83,B,Food,2015-03-02T12:00:00Z,2015-03-02T13:30:00Z,1.5
ZAXBY'S,2316 PANOLA ROAD,LITHONIA,2,5,PM,3,35,PM,2015-06-23,Tammy Evans 2/2017,Routine,2,882904,84,B,Food,2015-06-23T14:05:00Z,2015-06-23T15:35:00Z,1.5
ZAXBY'S,2316 PANOLA ROAD,LITHONIA,1,35,PM,3,35,PM,2015-02-09,Tammy Evans 2/2017,Routine,2,882904,89,B,Food,2015-02-09T13:35:00Z,2015-02-09T15:35:00Z,2
